exp(-theta**2/2)/sqrt(2*pi),64,None,10,None
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),64,None,10,None
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),64,None,10,None
sqrt((x2-x1)**2+(y2-y1)**2),51,None,6,None
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),2,None,1,True
m_0/sqrt(1-v**2/c**2),5,None,1,True
x1*y1+x2*y2+x3*y3,51,None,1,True
mu*Nn,2,None,1,True
q1*q2*r/(4*pi*epsilon*r**3),5,None,1,True
q1*r/(4*pi*epsilon*r**3),5,None,1,True
q2*Ef,3,None,2,None
q*(Ef+B*v*sin(theta)),1,True,1,True
1/2*m*(v**2+u**2+w**2),5,None,2,None
G*m1*m2*(1/r2-1/r1),2,None,1,True
m*g*z,1,True,1,True
1/2*k_spring*x**2,1,True,1,True
(x-u*t)/sqrt(1-u**2/c**2),2,None,1,True
(t-u*x/c**2)/sqrt(1-u**2/c**2),2,None,1,True
m_0*v/sqrt(1-v**2/c**2),5,None,1,True
(u+v)/(1+u*v/c**2),35,None,1,True
(m1*r1+m2*r2)/(m1+m2),6,None,1,True
r*F*sin(theta),1,True,1,True
m*r*v*sin(theta),1,True,1,True
1/2*m*(omega**2+omega_0**2)*1/2*x**2,1,True,1,True
q/C,1,True,1,True
arcsin(n*sin(theta2)),64,None,10,None
1/(1/d1+n/d2),10,None,3,None
omega/c,7,None,2,None
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),10,None,3,None
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,2,None,2,None
arcsin(lambd/(n*d)),10,None,0,None
q**2*a**2/(6*pi*epsilon*c**3),1,True,1,True
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),1,True,1,True
q*v*B/p,1,True,1,True
omega_0/(1-v/c),7,None,2,None
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,7,None,2,None
(h/(2*pi))*omega,8,None,2,None
I1+I2+2*sqrt(I1*I2)*cos(delta),2,None,2,None
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2,None,1,True
3/2*pr*V,2,None,2,None
1/(gamma-1)*pr*V,1,True,1,True
n*kb*T/V,2,None,1,True
n_0*exp(-m*g*x/(kb*T)),0,None,0,None
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),2,None,1,True
mu_drift*q*Volt/d,0,None,0,None
mob*kb*T,1,True,1,True
1/(gamma-1)*kb*v/A,1,True,1,True
n*kb*T*ln(V2/V1),2,None,1,True
sqrt(gamma*pr/rho),1,True,1,True
m*c**2/sqrt(1-v**2/c**2),5,None,2,None
x1*(cos(omega*t)+alpha*cos(omega*t)**2),1,True,1,True
kappa*(T2-T1)*A/d,1,True,1,True
Pwr/(4*pi*r**2),0,None,0,None
q/(4*pi*epsilon*r),5,None,2,None
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,2,None,1,True
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),3,None,2,None
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,2,None,1,True
3/5*q**2/(4*pi*epsilon*d),5,None,1,True
epsilon*Ef**2/2,5,None,2,None
sigma_den/epsilon*1/(1+chi),1,True,1,True
q*Ef/(m*(omega_0**2-omega**2)),1,True,1,True
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),2,None,1,True
n_rho*p_d**2*Ef/(3*kb*T),1,True,1,True
n*alpha/(1-(n*alpha/3))*epsilon*Ef,1,True,1,True
1+n*alpha/(1-(n*alpha/3)),64,None,10,None
1/(4*pi*epsilon*c**2)*2*I/r,1,True,1,True
rho_c_0/sqrt(1-v**2/c**2),2,None,1,True
rho_c_0*v/sqrt(1-v**2/c**2),2,None,1,True
-mom*B*cos(theta),5,None,3,None
-p_d*Ef*cos(theta),3,None,1,True
q/(4*pi*epsilon*r*(1-v/c)),1,True,1,True
sqrt(omega**2/c**2-pi**2/d**2),2,None,1,True
epsilon*c*Ef**2,2,None,1,True
epsilon*Ef**2,5,None,2,None
q*v/(2*pi*r),3,None,1,True
q*v*r/2,3,None,1,True
g_*q*B/(2*m),1,True,1,True
q*h/(4*pi*m),3,None,1,True
g_*mom*B*Jz/(h/(2*pi)),1,True,1,True
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),2,None,2,None
n_rho*mom*tanh(mom*B/(kb*T)),1,True,1,True
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,1,True,1,True
mom*(1+chi)*B,5,None,3,None
Y*A*x/d,1,True,1,True
Y/(2*(1+sigma)),3,None,1,True
1/(exp((h/(2*pi))*omega/(kb*T))-1),6,None,1,True
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),6,None,1,True
2*mom*B/(h/(2*pi)),2,None,1,True
sin(E_n*t/(h/(2*pi)))**2,2,None,1,True
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,1,True,1,True
mom*sqrt(Bx**2+By**2+Bz**2),12,None,4,None
n*(h/(2*pi)),2,None,1,True
2*E_n*d**2*k/(h/(2*pi)),1,True,1,True
I_0*(exp(q*Volt/(kb*T))-1),1,True,1,True
2*U*(1-cos(k*d)),2,None,1,True
(h/(2*pi))**2/(2*E_n*d**2),2,None,1,True
2*pi*alpha/(n*d),10,None,1,True
beta*(1+alpha*cos(theta)),64,None,10,None
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),0,None,0,None
-rho_c_0*q*A_vec/m,1,True,1,True
