76,77,92,76,73
66,76,64,68,51
1,3,8,9,3
8,8,7,6,4
59,59,48,60,53
67,67,8,78,23
118,108,21,116,90
364,364,367,364,364
61,59,43,62,49
133,136,103,133,131
42,40,6,44,26
392,396,393,395,399
158,171,76,172,177
17,26,2,9,49
1,13,4,6,40
13,12,2,12,3
205,212,2,209,204
67,10,4,83,158
38,2,10,62,119
142,138,107,142,142
50,65,71,63,50
26,25,9,26,26
2,2,26,2,11
19,18,22,19,13
307,8,31,309,315
73,93,208,151,157
55,28,179,130,130
323,323,320,323,325
143,151,7,150,148
40,22,24,40,80
13,1,3,21,44
24,25,1,24,18
94,104,20,98,100
10,2,41,14,28
14,6,9,12,23
21,23,32,21,33
7,20,2,19,11
86,89,28,87,47
181,181,181,181,181
99,99,87,99,98
59,58,47,59,53
78,66,8,78,20
40,40,2,40,38
141,87,27,144,150
67,69,101,68,63
158,126,1,159,144
5,4,7,7,4
5,7,5,5,6
53,63,94,51,73
46,45,54,46,50
128,116,1,128,131
400,400,5,399,395
1,169,9,244,227
65,4,1,3,12
4,18,1,8,88
20,20,18,20,19
134,18,83,129,140
40,11,73,38,53
41,6,1,82,182
321,321,320,321,321
56,46,14,57,49
32,32,1,27,10
25,23,1,25,39
72,73,24,74,67
176,186,203,171,173
36,150,149,147,148
63,99,278,129,133
363,363,363,363,363
101,1,65,103,97
13,16,113,17,7
9,15,1,41,126
159,159,143,159,161
93,3,6,134,91
1,12,144,1,1
9,2,2,16,58
34,34,27,34,41
152,152,114,152,152
190,182,44,191,172
56,69,98,62,96
71,58,58,72,65
62,57,44,61,47
134,133,100,133,132
36,24,3,29,2
228,180,132,227,205
52,65,94,52,76
45,46,53,45,49
197,156,1,194,127
312,292,346,307,256
100,105,89,102,82
209,203,85,211,185
2,8,9,8,8
391,400,400,391,397
34,210,3,294,260
46,55,3,49,45
4,1,4,1,5
26,26,26,26,25
216,4,23,219,152
152,114,2,209,233
10,9,34,10,44
317,317,317,317,317
91,86,2,90,48
106,108,17,106,110
4,14,3,4,3
120,120,107,120,112
155,110,228,304,302
147,144,173,277,273
49,50,215,31,30
361,361,361,361,361
130,3,4,209,118
45,65,8,161,201
5,9,44,7,5
197,197,197,197,196
126,17,7,216,142
60,40,12,87,141
2,13,87,2,4
65,64,64,65,65
196,196,193,196,193
31,33,38,31,32
223,224,146,226,195
127,87,6,127,67
169,153,142,172,233
11,14,3,9,56
1,10,37,74,173
26,14,223,14,14
7,172,8,243,227
57,2,2,4,11
18,163,12,93,241
390,397,7,390,397
28,179,2,293,293
66,54,2,48,197
8,58,28,20,64
393,393,391,393,393
381,2,1,2,392
21,3,74,1,1
5,5,5,10,5
8,1,9,8,9
373,399,371,208,399
80,84,232,25,24
21,4,3,23,8
354,353,355,353,349
109,31,266,61,60
5,17,4,6,51
8,64,16,82,176
3,1,104,5,9
7,309,234,293,380
64,101,345,42,64
204,1,16,211,121
380,380,380,380,380
362,47,39,84,84
55,13,22,13,13
43,3,74,47,48
58,66,68,58,44
360,322,21,21,322
17,22,18,4,5
69,4,44,91,96
1,1,1,1,1
1,26,131,4,15
21,9,29,2,31
82,249,40,164,269
16,69,346,103,109
208,210,2,210,210
78,10,4,82,160
216,11,28,218,168
60,27,119,113,113
134,3,89,129,144
36,1,74,39,54
136,36,4,261,243
387,307,110,378,307
126,4,37,222,152
181,65,2,210,230
117,62,105,120,132
391,303,395,391,392
374,210,129,212,360
69,35,134,24,24
1,2,1,1,1
5,5,5,5,5
263,326,358,330,343
1,111,10,157,285
6,6,8,6,9
3,6,3,4,4
12,152,39,207,239
47,17,18,62,140
204,5,13,217,156
87,37,1,87,100
378,340,351,364,224
222,123,320,217,238
3,58,28,82,155
134,132,108,134,129
331,237,355,263,264
18,146,10,93,243
23,22,27,23,24
25,24,17,26,23
231,343,338,214,217
8,75,13,53,200
31,50,29,33,34
39,49,25,39,44
46,40,3,46,44
59,150,160,61,145
281,91,1,285,257
126,125,14,236,236
62,64,59,62,51
25,26,6,25,25
20,23,28,23,11
25,44,159,17,14
57,45,15,57,49
31,32,2,28,12
118,98,1,114,91
377,67,372,377,377
92,80,1,89,58
108,101,15,107,110
28,38,25,28,24
396,63,399,397,63
108,22,287,60,61
2,7,4,5,6
2,13,1,7,42
11,11,1,11,1
15,119,36,204,238
51,6,16,63,152
64,2,7,69,113
260,260,243,261,253
47,42,1,49,39
4,4,3,4,9
9,1,9,4,1
4,8,6,2,7
46,227,345,299,304
43,131,159,130,111
142,27,21,142,146
360,360,356,360,358
26,37,13,140,187
28,15,27,37,73
32,1,10,34,39
53,51,28,53,45
22,21,9,85,148
5,9,52,8,21
12,4,20,13,19
18,18,8,18,5
40,40,24,40,29
49,57,60,49,51
184,176,125,181,164
88,26,2,88,101
307,23,17,308,300
81,50,247,152,154
176,113,265,320,320
267,81,279,167,172
171,188,200,170,170
29,149,84,148,151
130,190,298,322,322
389,77,359,389,77
156,96,230,303,306
204,136,142,278,267
151,250,151,230,231
397,24,396,395,24
7,326,241,331,22
18,50,343,42,35
217,1,4,265,41
49,51,1,57,35
378,363,289,365,365
193,141,218,214,221
5,3,68,270,206
45,41,1,49,40
35,90,343,298,314
76,103,60,129,128
83,205,171,322,324
10,138,28,203,237
379,378,386,379,10
30,15,360,274,250
7,7,7,1,10
4,6,7,3,7
371,340,313,335,6
186,115,326,155,174
4,27,55,294,243
99,87,1,103,93
373,332,262,278,2
157,179,295,96,113
1,85,14,306,251
135,125,7,133,127
139,10,14,150,174
162,161,230,125,126
220,225,284,337,336
294,175,359,331,306
151,150,6,151,145
39,5,16,41,87
161,1,13,168,111
9,14,65,76,76
98,2,62,103,99
20,5,119,17,7
133,6,1,212,209
383,37,383,383,383
154,6,9,209,120
111,141,7,162,204
61,35,131,64,51
398,33,392,393,397
366,32,24,84,85
33,7,25,14,14
3,2,17,4,5
1,1,1,1,1
331,284,353,263,265
22,53,15,93,243
22,22,22,22,21
120,122,124,121,121
10,44,24,141,184
26,17,49,38,73
166,3,36,167,86
41,4,40,45,38
371,170,329,334,170
134,74,324,161,162
5,48,22,130,202
328,328,324,328,327
271,327,313,197,193
24,67,7,58,169
8,4,4,5,6
1,1,8,9,8
297,162,330,130,130
7,24,4,27,119
12,13,11,13,12
19,18,11,19,18
7,2,18,7,11
29,59,163,24,55
253,162,9,264,235
191,71,124,186,182
94,109,21,98,102
11,2,52,13,26
121,1,37,127,93
86,116,50,54,50
96,2,12,133,89
2,14,144,1,1
121,4,4,153,177
388,197,387,388,197
161,56,3,217,142
59,53,23,86,141
38,97,182,34,44
395,193,398,398,193
353,192,20,20,192
6,12,18,5,4
7,1,10,9,14
1,3,1,1,1
198,188,352,220,205
5,75,11,55,191
45,44,42,45,45
327,328,325,327,325
22,52,17,84,146
5,6,55,9,21
107,10,113,119,75
14,17,96,16,23
374,227,137,278,180
129,82,321,94,94
1,86,7,176,222
372,372,370,372,372
298,151,309,130,122
4,18,2,26,103
16,16,14,18,16
113,117,106,112,102
261,322,217,75,75
1,11,7,15,54
7,10,10,2,10
2,2,1,7,8
59,74,162,61,97
15,120,201,12,47
206,119,24,212,203
119,19,197,126,138
20,19,1,20,12
87,87,28,88,48
165,167,166,165,164
327,327,327,327,327
153,153,113,153,156
189,184,45,191,171
132,129,145,132,123
350,107,347,346,346
197,196,193,197,192
32,35,39,33,31
222,222,161,222,234
395,103,397,393,103
1,47,150,3,14
15,4,44,1,31
16,37,2,16,152
105,105,97,105,102
48,38,3,47,43
63,97,152,62,146
130,24,1,155,215
367,367,365,367,367
29,40,27,39,29
45,56,73,48,47
129,128,83,127,136
259,258,242,260,252
139,6,21,151,176
188,266,237,126,119
89,72,71,189,181
381,381,381,381,381
6,2,18,6,10
24,71,165,25,58
79,104,14,108,187
324,322,321,322,324
62,68,161,61,101
14,93,224,11,48
36,46,13,53,128
154,147,126,150,156
326,326,322,326,326
271,271,234,272,256
8,2,5,3,6
3,3,2,1,5
