11,18,118,15,79
339,322,1,349,38
409,403,395,429,415
356,356,332,359,355
85,290,148,83,91
75,25,2,59,5
91,122,143,91,85
94,112,176,107,59
191,336,349,111,337
61,68,17,59,40
7,12,131,5,59
4,29,48,28,62
338,343,307,343,308
26,29,61,27,19
338,335,332,333,320
47,40,58,35,136
46,45,305,339,331
359,359,349,360,353
382,382,419,384,384
214,134,50,205,47
149,11,387,45,360
307,307,307,307,307
477,473,469,478,478
435,435,306,187,434
423,419,370,428,426
395,395,378,401,384
426,423,337,429,419
379,374,10,380,359
326,314,3,333,62
383,383,324,384,384
4,40,22,15,27
191,158,26,193,88
445,438,316,447,433
2,355,2,2,355
40,44,115,41,354
235,157,197,233,154
48,352,48,48,352
27,27,27,28,351
7,7,7,7,350
110,112,30,118,28
28,45,95,28,50
347,347,347,347,347
469,468,471,478,468
112,83,132,115,6
440,437,311,444,441
38,28,1,38,2
194,104,8,195,112
185,132,50,184,2
154,106,242,154,53
50,77,17,52,42
31,40,177,31,73
322,302,1,324,17
402,402,340,430,419
4,335,4,4,335
239,190,191,184,334
162,133,20,176,151
194,332,194,194,332
159,159,140,159,301
68,67,79,67,329
134,131,51,135,84
5,31,37,1,52
27,50,209,27,104
313,309,305,318,320
3,265,3,3,265
135,134,129,134,197
131,91,364,124,47
141,262,141,141,262
111,111,219,111,261
59,59,53,60,260
97,122,36,98,40
108,103,301,104,25
95,257,102,87,91
469,472,472,472,256
19,19,10,21,11
109,107,71,132,84
51,80,29,90,32
121,118,92,123,109
87,77,53,89,65
56,54,15,57,57
440,442,318,439,436
28,9,296,3,142
12,16,201,12,116
379,375,23,382,27
3,1,331,15,332
456,456,447,456,447
468,474,480,472,470
1,1,1,1,3
23,5,5,6,254
249,210,210,224,228
50,51,221,216,231
193,42,7,227,126
444,439,316,445,421
220,296,335,226,273
251,219,219,222,295
225,125,125,125,294
82,114,194,162,160
200,22,22,23,25
9,5,63,61,62
124,118,92,125,102
109,106,71,110,86
462,458,464,465,463
454,450,454,453,452
351,306,10,356,20
171,14,46,176,28
351,351,43,356,326
130,283,126,128,283
399,406,426,403,413
243,217,85,244,184
78,41,87,83,106
469,279,474,472,470
64,84,144,65,77
44,14,1,24,19
1,5,4,25,3
14,12,1,14,1
256,259,102,260,256
109,25,2,101,76
140,1,147,376,351
74,81,50,78,55
74,72,178,89,158
49,35,89,54,56
370,381,405,365,5
78,90,201,54,6
247,69,83,262,166
38,67,58,100,99
25,20,58,374,362
85,86,79,94,68
235,211,117,235,196
100,26,30,79,54
25,2,3,348,128
74,63,8,64,16
161,156,168,160,134
70,14,138,59,16
10,2,4,204,23
29,24,164,52,20
70,66,2,84,2
81,90,3,91,7
380,380,380,381,379
223,182,305,252,240
350,325,4,355,20
171,58,44,177,48
299,303,10,303,52
307,37,55,309,71
459,462,457,462,459
451,454,452,454,452
421,420,432,386,416
46,51,108,25,1
325,275,34,336,285
467,473,474,472,476
1,39,23,165,172
28,4,5,26,20
5,4,1,12,2
12,370,15,372,11
310,31,110,334,52
121,16,226,140,87
10,14,1,307,139
123,216,72,340,46
325,181,45,334,42
118,116,1,117,3
269,173,1,262,25
329,319,28,332,47
198,92,134,328,319
27,83,6,145,133
30,18,5,335,325
48,50,76,44,53
394,2,81,308,22
101,17,218,115,66
44,16,1,255,24
352,332,60,349,42
263,3,33,288,91
62,93,296,79,30
106,1,8,125,11
361,362,38,366,24
329,331,54,335,49
200,159,21,195,115
30,30,77,30,20
311,257,337,339,39
401,400,418,436,415
236,187,136,241,190
25,23,10,25,14
414,393,252,409,408
420,421,431,422,402
42,51,110,24,30
358,348,18,362,243
396,386,416,401,386
461,460,462,464,460
467,467,470,480,468
69,306,47,415,423
42,27,13,46,31
5,15,1,3,1
394,394,392,395,392
288,88,110,412,402
212,28,18,225,191
55,4,32,82,16
407,409,405,424,405
444,443,397,448,444
195,192,18,196,56
9,11,2,9,3
403,412,389,418,414
209,252,361,398,396
34,144,40,221,230
12,10,1,172,178
420,420,424,414,410
331,262,92,412,430
227,212,137,183,175
19,8,127,36,9
399,416,399,431,402
277,316,80,421,391
140,60,96,134,120
2,62,283,11,9
398,401,396,432,400
422,406,398,405,408
311,311,312,310,312
351,314,5,355,17
401,379,287,414,391
65,81,139,65,73
31,12,1,24,18
21,40,15,91,87
118,28,26,28,27
2,30,12,164,167
40,3,8,26,20
78,62,3,67,67
6,408,6,7,408
167,232,113,393,381
47,41,3,38,34
69,65,70,33,23
471,405,473,478,405
458,461,459,466,457
444,448,448,321,448
74,401,35,42,401
35,48,62,19,16
73,1,3,110,88
86,102,77,75,42
8,61,10,39,39
22,4,4,18,14
30,48,21,112,109
12,3,154,32,59
118,41,37,45,393
21,4,2,18,15
309,27,23,139,45
216,232,64,233,69
71,239,30,31,30
7,15,8,12,13
124,12,140,122,114
28,55,88,29,4
17,85,11,10,13
5,10,3,8,10
170,8,140,180,137
43,2,1,33,18
247,179,210,190,451
29,40,39,14,16
72,33,63,111,108
21,8,18,40,38
255,260,16,263,244
105,27,1,100,80
291,42,160,378,368
35,94,170,167,180
391,89,94,334,53
123,22,231,145,90
203,67,3,334,318
98,70,99,96,70
297,32,232,421,396
190,170,14,212,193
195,18,180,197,190
478,471,475,471,449
51,65,41,37,65
38,31,44,18,20
10,1,1,6,4
60,19,31,60,18
466,459,464,462,463
455,453,453,453,450
26,65,5,231,189
135,42,166,88,72
380,218,278,413,434
198,141,5,231,122
215,115,254,220,115
72,65,21,83,88
45,161,270,420,382
93,98,35,95,69
21,91,40,185,185
48,88,5,73,65
377,376,379,377,380
83,51,54,80,80
10,74,134,132,141
34,58,8,53,44
21,18,26,18,29
161,114,69,180,111
441,438,310,444,437
79,48,226,90,71
436,392,345,438,443
100,120,14,210,228
101,88,168,92,154
55,21,106,55,57
379,387,431,375,126
190,192,249,160,41
316,133,35,338,49
89,115,2,123,2
319,293,1,332,222
122,92,70,124,124
444,443,344,449,446
195,192,16,228,52
53,74,38,54,47
476,29,473,469,29
10,21,9,36,39
41,15,4,16,12
3,3,2,31,4
17,17,2,22,3
46,80,5,212,188
124,21,153,83,58
364,85,167,385,422
106,103,56,107,66
459,457,458,459,462
452,454,452,453,455
22,22,194,224,215
46,13,7,86,88
60,34,18,420,401
115,108,85,122,96
27,52,15,179,165
82,21,72,70,64
340,3,109,366,310
87,73,38,91,47
9,15,19,124,125
41,1,127,52,40
191,7,313,264,22
54,53,1,55,5
53,76,19,90,41
2,36,116,2,4
419,417,392,421,426
196,117,7,221,121
245,50,74,261,251
28,57,3,99,108
187,210,46,376,373
188,31,73,173,207
32,178,297,327,322
21,50,2,146,145
182,229,196,337,332
100,54,102,106,102
212,91,254,409,407
40,83,34,219,221
126,140,1,231,205
478,467,467,469,451
78,40,38,46,282
17,17,24,14,20
394,20,27,314,4
334,326,13,336,25
223,224,216,223,229
58,82,25,86,86
82,224,266,401,405
441,439,314,445,441
30,70,143,214,229
18,46,18,86,87
212,115,143,414,396
5,131,15,227,191
460,458,461,461,462
450,455,450,455,452
208,183,186,190,35
12,44,43,75,74
43,114,51,370,375
242,245,3,240,152
166,59,135,134,59
28,34,4,51,56
1,149,132,335,355
278,274,4,279,184
429,96,299,434,354
145,104,163,429,426
80,231,113,417,394
32,76,172,216,234
234,209,157,236,203
102,57,25,81,72
265,1,18,361,331
18,200,141,154,156
352,6,113,306,81
102,10,229,116,65
265,73,72,298,271
85,196,77,85,82
335,276,221,410,392
205,195,128,167,169
157,170,213,185,219
473,192,455,467,473
72,191,37,29,34
3,3,5,13,14
25,1,71,14,8
33,6,1,34,4
22,187,218,181,184
76,109,1,70,62
375,375,378,373,375
79,88,99,97,64
74,120,37,181,169
92,10,96,72,51
338,12,168,369,355
170,13,171,183,85
112,229,188,189,194
16,81,23,69,74
3,24,93,371,370
145,148,94,147,100
457,460,461,465,461
443,447,446,396,447
29,130,127,108,105
25,8,7,46,29
12,12,2,12,3
79,32,17,105,31
159,91,257,160,20
56,93,256,69,58
325,275,205,370,377
29,72,55,183,183
161,159,188,161,144
68,5,129,60,16
180,8,16,283,242
153,126,101,105,106
284,1,11,288,75
58,110,274,78,45
246,29,57,190,179
42,218,31,31,218
251,245,97,410,397
98,43,152,124,109
50,181,306,139,56
474,480,475,467,214
45,213,11,12,202
6,16,2,8,9
36,1,4,59,10
27,35,28,27,32
18,180,131,131,145
47,82,20,53,48
56,57,46,55,49
140,130,88,128,94
27,21,20,129,128
55,2,90,53,47
280,18,180,310,253
121,7,273,138,84
106,141,142,139,155
12,36,18,56,56
2,9,19,316,315
179,188,123,191,129
49,139,109,108,104
31,36,8,34,28
18,18,9,20,9
78,107,40,81,29
462,457,459,458,462
445,449,448,396,449
114,103,261,109,82
30,178,281,51,33
260,215,83,307,289
17,24,30,130,132
65,64,1,68,10
83,71,3,91,19
379,379,378,379,378
118,155,151,119,153
330,227,53,343,41
194,134,22,197,108
317,241,264,309,66
109,150,101,113,150
423,404,401,415,404
314,311,307,314,312
237,148,39,261,118
467,176,434,475,176
195,170,223,190,457
36,35,45,15,18
3,1,7,36,6
20,20,24,19,20
441,441,337,442,439
83,10,220,81,62
435,352,399,440,437
124,116,95,141,127
52,77,22,76,67
9,36,116,9,16
386,384,325,387,385
105,102,57,135,55
427,161,290,431,360
156,172,116,430,426
10,6,18,419,386
125,119,103,136,109
157,93,241,161,7
35,88,226,68,60
263,109,190,366,361
99,88,80,101,73
118,85,255,108,96
38,217,273,51,43
153,35,70,288,43
68,68,54,68,54
460,461,458,460,463
454,454,447,455,452
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000
